,toexpfac,tautodist,tautotime,duration,psexpfac,pptyp,pdpurp,tmodetp,tardest_hr,district_name,lat_district,lon_district,source
0,406.5105,0.556439394,5.317087542,60,271697.4896,Child Age 0-4,Escort,Bike,16,East Side,47.611097,-122.144813,survey
1,83.6385,8.76,25.685,645,271697.4896,Child Age 0-4,Escort,HOV2,7,East Side,47.611097,-122.144813,survey
2,2334.48325,4.211010038,12.69591323,500,271697.4896,Child Age 0-4,Escort,HOV2,9,East Side,47.611097,-122.144813,survey
3,341.700875,1.635374621,8.699933075,585,271697.4896,Child Age 0-4,Escort,HOV3+,7,East Side,47.611097,-122.144813,survey
4,528.034375,2.978017519,11.24992369,445,271697.4896,Child Age 0-4,Escort,HOV3+,8,East Side,47.611097,-122.144813,survey
5,2401.275125,11.81311051,24.57321228,626.25,271697.4896,Child Age 0-4,Escort,HOV3+,9,East Side,47.611097,-122.144813,survey
6,316.4415,3.51,10.845,380,271697.4896,Child Age 0-4,Escort,HOV3+,12,East Side,47.611097,-122.144813,survey
7,406.5105,0.556439394,5.317087542,30,271697.4896,Child Age 0-4,Escort,HOV3+,15,East Side,47.611097,-122.144813,survey
8,546.698875,0.847222222,5.390451389,15,271697.4896,Child Age 0-4,Escort,HOV3+,17,East Side,47.611097,-122.144813,survey
9,689.216375,2.555,8.975555556,52.5,271697.4896,Child Age 0-4,Escort,HOV3+,18,East Side,47.611097,-122.144813,survey
10,546.698875,0.847222222,5.363975694,25,271697.4896,Child Age 0-4,Escort,Walk,18,East Side,47.611097,-122.144813,survey
11,169.033375,0.748936364,6.569617225,15,271697.4896,Child Age 0-4,Meal,HOV2,8,East Side,47.611097,-122.144813,survey
12,265.2165,6.07,21.555,90,271697.4896,Child Age 0-4,Meal,HOV3+,16,East Side,47.611097,-122.144813,survey
13,161.51425,10.64,24.755,125,271697.4896,Child Age 0-4,Meal,HOV3+,17,East Side,47.611097,-122.144813,survey
14,316.573875,2.540308965,9.113154247,70,271697.4896,Child Age 0-4,Meal,HOV3+,18,East Side,47.611097,-122.144813,survey
15,429.69,0.819267172,5.162219169,70,271697.4896,Child Age 0-4,Meal,HOV3+,20,East Side,47.611097,-122.144813,survey
16,430.030625,0.613904167,3.287868192,40,271697.4896,Child Age 0-4,Meal,Walk,15,East Side,47.611097,-122.144813,survey
17,870.266125,19.125,39.28,605,271697.4896,Child Age 0-4,Personal Business,HOV2,8,East Side,47.611097,-122.144813,survey
18,406.5105,1.075479798,4.794158023,90,271697.4896,Child Age 0-4,Personal Business,HOV2,9,East Side,47.611097,-122.144813,survey
19,976.09725,1.488938636,6.092668443,25,271697.4896,Child Age 0-4,Personal Business,HOV2,10,East Side,47.611097,-122.144813,survey
20,1124.381125,2.807110385,9.061880939,52.5,271697.4896,Child Age 0-4,Personal Business,HOV3+,7,East Side,47.611097,-122.144813,survey
21,1843.154875,0.39157197,3.051720713,10,271697.4896,Child Age 0-4,Personal Business,HOV3+,8,East Side,47.611097,-122.144813,survey
22,1177.881375,0.391477273,3.504199002,10,271697.4896,Child Age 0-4,Personal Business,HOV3+,11,East Side,47.611097,-122.144813,survey
23,639.138,1.803542424,7.293126623,55,271697.4896,Child Age 0-4,Personal Business,HOV3+,14,East Side,47.611097,-122.144813,survey
